3B6 - REBAJA PLUS No. 5 MEDELLIN SURAMERICANA - MEDELLIN;123434681
ALIMENTOS Y BEBIDAS;5239850
ASEO Y HOGAR;3297127
CUIDADO PERSONAL;18361795
OTC;25620931
UNIDAD RX;70914978
3H5 - REBAJA PLUS No. 8 MEDELLIN POLICLINICA - MEDELLIN;246550048
ALIMENTOS Y BEBIDAS;9640570
ASEO Y HOGAR;3246753
CUIDADO PERSONAL;43216744
OTC;48293467
UNIDAD RX;142152514
3M3 - REBAJA PLUS No. 9 MEDELLIN CIUDAD RIO CLINICA EL PRADO - MEDELLIN;38163231
ALIMENTOS Y BEBIDAS;1397073
ASEO Y HOGAR;3069444
CUIDADO PERSONAL;6665288
OTC;6380216
UNIDAD RX;20651210
159 - REBAJA No. 1 CAUCASIA LA INMACULADA - CAUCASIA;101288456
ALIMENTOS Y BEBIDAS;3398580
ASEO Y HOGAR;1086216
CUIDADO PERSONAL;11436184
OTC;22382326
UNIDAD RX;62985150
184 - REBAJA No. 2 CAUCASIA PLAZA DE MERCADO - CAUCASIA;158199785
ALIMENTOS Y BEBIDAS;4265538
ASEO Y HOGAR;1280176
CUIDADO PERSONAL;19342381
OTC;36111927
UNIDAD RX;97199763
1I7 - REBAJA No. 3 CAUCASIA LA TRONCAL - CAUCASIA;91486266
ALIMENTOS Y BEBIDAS;5353309
ASEO Y HOGAR;934271
CUIDADO PERSONAL;11004164
OTC;21116882
UNIDAD RX;53077640
3A6 - REBAJA No. 1 BELLO PARQUE PRINCIPAL - BELLO;129831207
ALIMENTOS Y BEBIDAS;3574539
ASEO Y HOGAR;2047884
CUIDADO PERSONAL;21499872
OTC;24906703
UNIDAD RX;77802209
3A9 - REBAJA No. 1 GIRARDOTA PARQUE PRINCIPAL - GIRARDOTA;48141497
ALIMENTOS Y BEBIDAS;2539333
ASEO Y HOGAR;515083
CUIDADO PERSONAL;9016220
OTC;11704724
UNIDAD RX;24366137
3B3 - REBAJA No. 1 MEDELLIN COLOMBIA - MEDELLIN;100161460
ALIMENTOS Y BEBIDAS;3505202
ASEO Y HOGAR;872584
CUIDADO PERSONAL;19571295
OTC;25502121
UNIDAD RX;50710258
3B5 - REBAJA No. 3 MEDELLIN SAN ANTONIO - MEDELLIN;152382686
ALIMENTOS Y BEBIDAS;6941027
ASEO Y HOGAR;1460422
CUIDADO PERSONAL;33888639
OTC;35611919
UNIDAD RX;74480679
3B9 - REBAJA No. 7 MEDELLIN ESQUINA PLAYA CON SUCRE - MEDELLIN;132937090
ALIMENTOS Y BEBIDAS;6018573
ASEO Y HOGAR;1225438
CUIDADO PERSONAL;25699184
OTC;29317143
UNIDAD RX;70676752
3C1 - REBAJA No. 8 MEDELLIN PLAZUELA URIBE URIBE - MEDELLIN;69791507
ALIMENTOS Y BEBIDAS;3843920
ASEO Y HOGAR;791066
CUIDADO PERSONAL;15259496
OTC;18999197
UNIDAD RX;30897828
3C2 - REBAJA No. 9 MEDELLIN SAN DIEGO - MEDELLIN;62647165
ALIMENTOS Y BEBIDAS;3861662
ASEO Y HOGAR;652492
CUIDADO PERSONAL;8912319
OTC;11298016
UNIDAD RX;37922676
3C9 - REBAJA No. 1 YARUMAL PARQUE PRINCIPAL - YARUMAL;82972259
ALIMENTOS Y BEBIDAS;2020788
ASEO Y HOGAR;524434
CUIDADO PERSONAL;16737809
OTC;22068794
UNIDAD RX;41620434
3E6 - REBAJA No. 13 MEDELLIN PARQUE BERRIO - MEDELLIN;137810161
ALIMENTOS Y BEBIDAS;5570859
ASEO Y HOGAR;1320270
CUIDADO PERSONAL;31421342
OTC;34739682
UNIDAD RX;64758008
3G9 - REBAJA No. 34 MEDELLIN MANRIQUE CENTRAL - MEDELLIN;61128411
ALIMENTOS Y BEBIDAS;3819510
ASEO Y HOGAR;639211
CUIDADO PERSONAL;11637542
OTC;12609450
UNIDAD RX;32422698
3H3 - REBAJA No. 37 MEDELLIN EL SALVADOR - MEDELLIN;60490215
ALIMENTOS Y BEBIDAS;3267601
ASEO Y HOGAR;653876
CUIDADO PERSONAL;10386032
OTC;14888104
UNIDAD RX;31294602
3I8 - REBAJA No. 1 APARTADO FUNDADORES - APARTADO;29920966
ALIMENTOS Y BEBIDAS;1535304
ASEO Y HOGAR;461511
CUIDADO PERSONAL;4420857
OTC;6442452
UNIDAD RX;17060842
3J3 - REBAJA No. 2 APARTADO BARRIO ORTIZ - APARTADO;37159444
ALIMENTOS Y BEBIDAS;704365
ASEO Y HOGAR;517607
CUIDADO PERSONAL;5900192
OTC;9070664
UNIDAD RX;20966616
3J7 - REBAJA No. 1 CHIGORODO CENTRO - CHIGORODO;45924514
ALIMENTOS Y BEBIDAS;1417452
ASEO Y HOGAR;661334
CUIDADO PERSONAL;8046411
OTC;11869349
UNIDAD RX;23929968
3J9 - REBAJA No. 2 TURBO CENTRO - TURBO;165485842
ALIMENTOS Y BEBIDAS;5638538
ASEO Y HOGAR;2134894
CUIDADO PERSONAL;28176385
OTC;38253492
UNIDAD RX;91282533
3K1 - REBAJA No. 1 TURBO CENTRO - TURBO;90059604
ALIMENTOS Y BEBIDAS;4539962
ASEO Y HOGAR;1152770
CUIDADO PERSONAL;16252162
OTC;19942700
UNIDAD RX;48172010
3K6 - REBAJA No. 43 MEDELLIN PARQUE DE BOLIVAR - MEDELLIN;37658907
ALIMENTOS Y BEBIDAS;1760625
ASEO Y HOGAR;602223
CUIDADO PERSONAL;7801054
OTC;9510657
UNIDAD RX;17984348
3K9 - REBAJA No. 3 TURBO CENTRO - TURBO;126180198
ALIMENTOS Y BEBIDAS;7314831
ASEO Y HOGAR;1907092
CUIDADO PERSONAL;19193229
OTC;26494290
UNIDAD RX;71270756
3L6 - REBAJA No. 44 MEDELLIN - MEDELLIN;46195220
ALIMENTOS Y BEBIDAS;1456014
ASEO Y HOGAR;649812
CUIDADO PERSONAL;10471133
OTC;11653157
UNIDAD RX;21965104
