3B6 - REBAJA PLUS No. 5 MEDELLIN SURAMERICANA - MEDELLIN;124434681;
ALIMENTOS Y BEBIDAS;6239850;
ASEO Y HOGAR;4297127;
CUIDADO PERSONAL;19361795;
OTC;26620931;
UNIDAD RX;71914978;
3H5 - REBAJA PLUS No. 8 MEDELLIN POLICLINICA - MEDELLIN;247550048;
ALIMENTOS Y BEBIDAS;10640570;
ASEO Y HOGAR;4246753;
CUIDADO PERSONAL;44216744;
OTC;49293467;
UNIDAD RX;143152514;
3M3 - REBAJA PLUS No. 9 MEDELLIN CIUDAD RIO CLINICA EL PRADO - MEDELLIN;39163231;
ALIMENTOS Y BEBIDAS;2397073;
ASEO Y HOGAR;4069444;
CUIDADO PERSONAL;7665288;
OTC;7380216;
UNIDAD RX;21651210;
159 - REBAJA No. 1 CAUCASIA LA INMACULADA - CAUCASIA;102288456;
ALIMENTOS Y BEBIDAS;4398580;
ASEO Y HOGAR;2086216;
CUIDADO PERSONAL;12436184;
OTC;23382326;
UNIDAD RX;63985150;
184 - REBAJA No. 2 CAUCASIA PLAZA DE MERCADO - CAUCASIA;159199785;
ALIMENTOS Y BEBIDAS;5265538;
ASEO Y HOGAR;2280176;
CUIDADO PERSONAL;20342381;
OTC;37111927;
UNIDAD RX;98199763;
1I7 - REBAJA No. 3 CAUCASIA LA TRONCAL - CAUCASIA;92486266;
ALIMENTOS Y BEBIDAS;6353309;
ASEO Y HOGAR;1934271;
CUIDADO PERSONAL;12004164;
OTC;22116882;
UNIDAD RX;54077640;
3A6 - REBAJA No. 1 BELLO PARQUE PRINCIPAL - BELLO;130831207;
ALIMENTOS Y BEBIDAS;4574539;
ASEO Y HOGAR;3047884;
CUIDADO PERSONAL;22499872;
OTC;25906703;
UNIDAD RX;78802209;
3A9 - REBAJA No. 1 GIRARDOTA PARQUE PRINCIPAL - GIRARDOTA;49141497;
ALIMENTOS Y BEBIDAS;3539333;
ASEO Y HOGAR;1515083;
CUIDADO PERSONAL;10016220;
OTC;12704724;
UNIDAD RX;25366137;
3B3 - REBAJA No. 1 MEDELLIN COLOMBIA - MEDELLIN;101161460;
ALIMENTOS Y BEBIDAS;4505202;
ASEO Y HOGAR;1872584;
CUIDADO PERSONAL;20571295;
OTC;26502121;
UNIDAD RX;51710258;
3B5 - REBAJA No. 3 MEDELLIN SAN ANTONIO - MEDELLIN;153382686;
ALIMENTOS Y BEBIDAS;7941027;
ASEO Y HOGAR;2460422;
CUIDADO PERSONAL;34888639;
OTC;36611919;
UNIDAD RX;75480679;
3B9 - REBAJA No. 7 MEDELLIN ESQUINA PLAYA CON SUCRE - MEDELLIN;133937090;
ALIMENTOS Y BEBIDAS;7018573;
ASEO Y HOGAR;2225438;
CUIDADO PERSONAL;26699184;
OTC;30317143;
UNIDAD RX;71676752;
